"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_fragrance-type","attribute_data:pa_fragrance-type","attribute_default:pa_fragrance-type","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-g","attribute_data:pa_size-g","attribute_default:pa_size-g","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"135g Designer Fragrance Soap Gluta","135g-designer-fragrance-soap-gluta-3","1028","","Designer Fragrance Soap Gluta","publish","0","2013-07-25 02:43:08","0","open","CP 040 135g","no","no","visible","","instock","no","no","34.72","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/135g-Designer-Fragrance-Soap-Gluta.jpg","simple","compounds","","","","","","","","","","135g","0|1|0","","","","","","",""
"1Ltr DPG","1ltr-dpg-3","1030","","DPG","publish","0","2013-07-25 02:43:08","0","open","CP 031","no","no","visible","","instock","no","no","434.56","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Ltr-DPG.jpg","simple","compounds","","","","","","","","","","1Ltr","0|1|0","","","","","","",""
"1Kg Fabric Softener (Downy type)","1kg-fabric-softener-downy-type-3","1032","","Fabric Softener (Downy type)","publish","0","2013-07-25 02:43:08","0","open","CP 061 1Kg","no","no","visible","","instock","no","no","2016.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Fabric-Softener-Downy-type.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"500g Fabric Softener (Downy type)","500g-fabric-softener-downy-type-3","1034","","Fabric Softener (Downy type)","publish","0","2013-07-25 02:43:08","0","open","CP 061 500g","no","no","visible","","instock","no","no","1008.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/500g-Fabric-Softener-Downy-type.jpg","simple","compounds","","","","","","","","","","500g","0|1|0","","","","","","",""
"100g Fixative","100g-fixative-3","1036","","Fixative","publish","0","2013-07-25 02:43:08","0","open","CP 032","no","no","visible","","instock","no","no","476","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/100g-Fixative.jpg","simple","compounds","","","","","","","","","","100g","0|1|0","","","","","","",""
"200g Fixative","200g-fixative-3","1038","","Fixative","publish","0","2013-07-25 02:43:08","0","open","CP 054","no","no","visible","","instock","no","no","896","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/200g-Fixative.jpg","simple","compounds","","","","","","","","","","200g","0|1|0","","","","","","",""
"10Kg Hand Sanitizer","10kg-hand-sanitizer-3","1040","","Hand Sanitizer","publish","0","2013-07-25 02:43:08","0","open","CP 048 10Kg Packing","no","no","visible","","instock","no","no","1232.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/10Kg-Hand-Sanitizer.jpg","simple","compounds","","","","","","","","","","10kg","0|1|0","","","","","","",""
"1Kg Hand Sanitizer","1kg-hand-sanitizer-3","1042","","Hand Sanitizer","publish","0","2013-07-25 02:43:08","0","open","CP 048 1Kg Packing","no","no","visible","","instock","no","no","145.6","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Hand-Sanitizer.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"1Kg J&J Baby Powder","1kg-jj-baby-powder-3","1044","","J&J Baby Powder","publish","0","2013-07-25 02:43:08","0","open","CP 060 1Kg","no","no","visible","","instock","no","no","2674.56","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-JJ-Baby-Powder.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"500g J&J Baby Powder","500g-jj-baby-powder-3","1046","","J&J Baby Powder","publish","0","2013-07-25 02:43:08","0","open","CP 060 500g","no","no","visible","","instock","no","no","1337.28","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/500g-JJ-Baby-Powder.jpg","simple","compounds","","","","","","","","","","500g","0|1|0","","","","","","",""
