Product Code,Category,Size,Bottle,Cap, Price in Php ,size (ml),FILENAME USED,
GB 307,Glass Bottles,50,Glow,Pump Spray Fancy,33.6,50ml,50-Glow-+-Pump Spray Fancy,
GB 281,Glass Bottles,60,Clean,Pump Spray Fancy Gold,39.2,60ml,60-Clean-+-Pump Spray Fancy Gold,
GB 290,Glass Bottles,60,Clean Frosted,Pump Spray Fancy Silver Matte,39.2,60ml,60-Clean Frosted-+-Pump Spray Fancy Silver Matte,
GB 076,Glass Bottles,30,Crib Frosted,Pump Spray Fancy Silver Matte,35.84,30ml,30-Crib Frosted-+-Pump Spray Fancy Silver Matte,
GB 071,Glass Bottles,30,Tubular Slim,Pump Spray Fancy Silver Matte,33.6,30ml,30-Tubular Slim-+-Pump Spray Fancy Silver Matte,
GB 072,Glass Bottles,30,Cylindrical,Pump Spray Fancy Silver Matte,33.6,30ml,30-Cylindrical-+-Pump Spray Fancy Silver Matte,
GB 127,Glass Bottles,30,Hugo Frosted,Pump Spray Fancy Silver Matte,39.2,30ml,30-Hugo Frosted-+-Pump Spray Fancy Silver Matte,
GB 075,Glass Bottles,60,Round YL Frosted,Pump Spray Fancy Silver Matte,33.6,60ml,60-Round YL Frosted-+-Pump Spray Fancy Silver Matte,
GB 128,Glass Bottles,40,Hugo Frosted,Pump Spray Fancy Silver Matte,39.2,40ml,40-Hugo Frosted-+-Pump Spray Fancy Silver Matte,
GB 070,Glass Bottles,30,Round Frosted,Pump Spray Fancy Silver Matte,33.6,30ml,30-Round Frosted-+-Pump Spray Fancy Silver Matte,
GB 131,Glass Bottles,30,Sexy Frosted,Pump Spray Fancy Silver Matte,39.2,30ml,30-Sexy Frosted-+-Pump Spray Fancy Silver Matte,
GB 129,Glass Bottles,60,Hugo,Pump Spray Fancy Silver Matte,39.2,60ml,60-Hugo-+-Pump Spray Fancy Silver Matte,
GB 132,Glass Bottles,50,Sexy Frosted,Pump Spray Fancy Silver Matte,39.2,50ml,50-Sexy Frosted-+-Pump Spray Fancy Silver Matte,
GB 134,Glass Bottles,120,Sexy Frosted,Pump Spray Fancy Silver Matte,41.44,120ml,120-Sexy Frosted-+-Pump Spray Fancy Silver Matte,
GB 133,Glass Bottles,60,Clean,Pump Spray Fancy Silver Matte,39.2,60ml,60-Clean-+-Pump Spray Fancy Silver Matte,
GB 130,Glass Bottles,70,Teardrop Frosted,Pump Spray Fancy Silver Matte,39.2,70ml,70-Teardrop Frosted-+-Pump Spray Fancy Silver Matte,
GB 073,Glass Bottles,50,Tubular Frosted,Pump Spray Fancy Silver Matte,33.6,50ml,50-Tubular Frosted-+-Pump Spray Fancy Silver Matte,
GB 074,Glass Bottles,60,Tubular Frosted,Pump Spray Fancy Silver Matte,33.6,60ml,60-Tubular Frosted-+-Pump Spray Fancy Silver Matte,
GB 272,Glass Bottles,30,Clean,Pump Spray Fancy Silver Matte,29.12,30ml,30-Clean-+-Pump Spray Fancy Silver Matte,
GB 279,Glass Bottles,60,Round YL,Pump Spray Fancy Silver Matte,33.6,60ml,60-Round YL-+-Pump Spray Fancy Silver Matte,
GB 078,Glass Bottles,30,Volcano Frosted,Pump Spray Fancy Silver Matte,35.84,30ml,30-Volcano Frosted-+-Pump Spray Fancy Silver Matte,Phased-Out
GB 291,Glass Bottles,60,Clean Frosted,Pump Spray Fancy Silver Shiny,39.2,60ml,60-Clean Frosted-+-Pump Spray Fancy Silver Shiny,
GB 086,Glass Bottles,30,Crib Frosted,Pump Spray Fancy Silver Shiny,35.84,30ml,30-Crib Frosted-+-Pump Spray Fancy Silver Shiny,
GB 065,Glass Bottles,60,Round YL,Pump Spray Fancy Silver Shiny,33.6,60ml,60-Round YL-+-Pump Spray Fancy Silver Shiny,
GB 135,Glass Bottles,30,Hugo Frosted,Pump Spray Fancy Silver Shiny,39.2,30ml,30-Hugo Frosted-+-Pump Spray Fancy Silver Shiny,
GB 136,Glass Bottles,40,Hugo Frosted,Pump Spray Fancy Silver Shiny,39.2,40ml,40-Hugo Frosted-+-Pump Spray Fancy Silver Shiny,
GB 081,Glass Bottles,30,Tubular Slim,Pump Spray Fancy Silver Shiny,33.6,30ml,30-Tubular Slim-+-Pump Spray Fancy Silver Shiny,
GB 082,Glass Bottles,30,Cylindrical,Pump Spray Fancy Silver Shiny,33.6,30ml,30-Cylindrical-+-Pump Spray Fancy Silver Shiny,
GB 085,Glass Bottles,60,Round YL Frosted,Pump Spray Fancy Silver Shiny,33.6,60ml,60-Round YL Frosted-+-Pump Spray Fancy Silver Shiny,
GB 080,Glass Bottles,30,Round Frosted,Pump Spray Fancy Silver Shiny,33.6,30ml,30-Round Frosted-+-Pump Spray Fancy Silver Shiny,
GB 139,Glass Bottles,30,Sexy Frosted,Pump Spray Fancy Silver Shiny,39.2,30ml,30-Sexy Frosted-+-Pump Spray Fancy Silver Shiny,
GB 140,Glass Bottles,50,Sexy Frosted,Pump Spray Fancy Silver Shiny,39.2,50ml,50-Sexy Frosted-+-Pump Spray Fancy Silver Shiny,
GB 142,Glass Bottles,120,Sexy Frosted,Pump Spray Fancy Silver Shiny,41.44,120ml,120-Sexy Frosted-+-Pump Spray Fancy Silver Shiny,
GB 137,Glass Bottles,60,Hugo,Pump Spray Fancy Silver Shiny,39.2,60ml,60-Hugo-+-Pump Spray Fancy Silver Shiny,
GB 141,Glass Bottles,60,Clean,Pump Spray Fancy Silver Shiny,39.2,60ml,60-Clean-+-Pump Spray Fancy Silver Shiny,
