"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Round Dream Rollette","round-dream-rollette","218","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/8-Round-Dream-Rollette-+-Plastic-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/8-Round-Dream-Rollette-+-Pump-Spray.jpg","variable","Glass Bottles","","","Plastic Cap|Pump Spray","1|1|1","","8ml","0|1|1",""
"Clean Frosted","clean-frosted","221","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Clean-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg","variable","Glass Bottles","","","Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny","1|1|1","","60ml","0|1|1",""
"Faraway","faraway","225","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Faraway-+-Pump-Spray.jpg","variable","Glass Bottles","","","Pump Spray","1|1|1","","10ml","0|1|1",""
"Square Black","square-black","227","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Square-Black-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Square-Black-+-Splash-On-Cap.jpg","variable","Glass Bottles","","","Pump Spray|Splash On Cap","1|1|1","","10ml","0|1|1",""
"Triangle","triangle","230","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/15-Triangle-+-Pump-Spray.jpg","variable","Glass Bottles","","","Pump Spray","1|1|1","","15ml","0|1|1",""
"Bell","bell","232","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/20-Bell-+-Pump-Spray.jpg","variable","Glass Bottles","","","Pump Spray","1|1|1","","20ml","0|1|1",""
"Twist","twist","234","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/15-Twist-+-Pump-Spray-Fancy.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Twist-+-Pump-Spray-Fancy.jpg","variable","Glass Bottles","","","Pump Spray Fancy","1|1|1","","15ml|50ml","0|1|1",""
"Madrid","madrid","237","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Madrid-+-Pump-Spray-Fancy.jpg","variable","Glass Bottles","","","Pump Spray Fancy","1|1|1","","30ml","0|1|1",""
"Gucci","gucci","239","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Gucci-+-Pump-Spray-Fancy.jpg","variable","Glass Bottles","","","Pump Spray Fancy","1|1|1","","30ml","0|1|1",""
"Glow","glow","241","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Glow-+-Pump-Spray-Fancy.jpg","variable","Glass Bottles","","","Pump Spray Fancy","1|1|1","","50ml","0|1|1",""
"Rebecca","rebecca","243","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Rebecca-+-Pump-Spray-Fancy-Silver-Shiny.jpg","variable","Glass Bottles","","","Pump Spray Fancy Silver Shiny","1|1|1","","30ml","0|1|1",""
