Product Code,Category,Size,Bottle,Cap, Price in Php ,FILENAME USED
PT 801,PET Bottles,50ml,Wave,Pump Spray Fancy,23.52,50ml-Wave-+-Pump Spray Fancy
PT 802,PET Bottles,50ml,Wave,Pump Spray Shroud,16.8,50ml-Wave-+-Pump Spray Shroud
PT 803,PET Bottles,60ml,Teardrop (18mm),Aluminum Fake Cap,7,60ml-Teardrop (18mm)-+-Aluminum Fake Cap
PT 804,PET Bottles,60ml,Teardrop (18mm),Ardent Fliptop Cap,7.84,60ml-Teardrop (18mm)-+-Ardent Fliptop Cap
PT 805,PET Bottles,60ml,Teardrop (18mm),Ball Screw Cap,7,60ml-Teardrop (18mm)-+-Ball Screw Cap
PT 806,PET Bottles,60ml,Teardrop (18mm),Gel Pump,11.2,60ml-Teardrop (18mm)-+-Gel Pump
PT 807,PET Bottles,60ml,Teardrop (18mm),Gel Pump Shroud,16.8,60ml-Teardrop (18mm)-+-Gel Pump Shroud
PT 809,PET Bottles,60ml,Teardrop (18mm),Mushroom Fliptop Cap,7.84,60ml-Teardrop (18mm)-+-Mushroom Fliptop Cap
PT 811,PET Bottles,60ml,Teardrop (18mm),Pump Spray,10.36,60ml-Teardrop (18mm)-+-Pump Spray
PT 813,PET Bottles,60ml,Teardrop (18mm),Pump Spray Shroud,16.8,60ml-Teardrop (18mm)-+-Pump Spray Shroud
PT 814,PET Bottles,60ml,Teardrop (20mm),Aluminum Fake Cap,7.84,60ml-Teardrop (20mm)-+-Aluminum Fake Cap
PT 816,PET Bottles,60ml,Teardrop (20mm),Aluminum Screw Pump,14.56,60ml-Teardrop (20mm)-+-Aluminum Screw Pump
PT 817,PET Bottles,60ml,Teardrop (20mm),Ardent Fliptop Cap,8.4,60ml-Teardrop (20mm)-+-Ardent Fliptop Cap
PT 818,PET Bottles,60ml,Teardrop (20mm),Ball Fliptop Cap,9.52,60ml-Teardrop (20mm)-+-Ball Fliptop Cap
PT 819,PET Bottles,60ml,Teardrop (20mm),Disc Cap,9.52,60ml-Teardrop (20mm)-+-Disc Cap
PT 820,PET Bottles,60ml,Teardrop (20mm),Gel Pump,12.32,60ml-Teardrop (20mm)-+-Gel Pump
PT 822,PET Bottles,60ml,Teardrop (20mm),Lotion Pump Flat,12.32,60ml-Teardrop (20mm)-+-Lotion Pump Flat
PT 823,PET Bottles,60ml,Teardrop (20mm),Mushroom Fliptop Cap,8.4,60ml-Teardrop (20mm)-+-Mushroom Fliptop Cap
PT 824,PET Bottles,60ml,Teardrop (20mm),Mushroom Screw Cap,8.4,60ml-Teardrop (20mm)-+-Mushroom Screw Cap
PT 826,PET Bottles,60ml,Teardrop (20mm),Pump Spray,11.2,60ml-Teardrop (20mm)-+-Pump Spray
PT 827,PET Bottles,60ml,Teardrop (20mm),Pump Spray Fancy,23.52,60ml-Teardrop (20mm)-+-Pump Spray Fancy
PT 828,PET Bottles,60ml,Teardrop (20mm),Pump Spray Shroud,16.8,60ml-Teardrop (20mm)-+-Pump Spray Shroud
PT 831,PET Bottles,60ml,Tubular,Aluminum Fake Cap,7,60ml-Tubular-+-Aluminum Fake Cap
PT 832,PET Bottles,60ml,Tubular,Ardent Fliptop Cap,7.84,60ml-Tubular-+-Ardent Fliptop Cap
PT 834,PET Bottles,60ml,Tubular,Gel Pump,12.32,60ml-Tubular-+-Gel Pump
PT 837,PET Bottles,60ml,Tubular,Mushroom Fliptop Cap,7.84,60ml-Tubular-+-Mushroom Fliptop Cap
PT 838,PET Bottles,60ml,Tubular,Mushroom Screw Cap,7.84,60ml-Tubular-+-Mushroom Screw Cap
PT 839,PET Bottles,60ml,Tubular,Pump Spray,10.08,60ml-Tubular-+-Pump Spray
PT 840,PET Bottles,60ml,Tubular,Pump Spray Fancy,23.52,60ml-Tubular-+-Pump Spray Fancy
PT 841,PET Bottles,60ml,Tubular,Pump Spray Shroud,16.8,60ml-Tubular-+-Pump Spray Shroud
PT 842,PET Bottles,80ml,XY,Aluminum Fake Cap,8.96,80ml-XY-+-Aluminum Fake Cap
PT 845,PET Bottles,80ml,XY,Ardent Fliptop Cap,9.52,80ml-XY-+-Ardent Fliptop Cap
PT 848,PET Bottles,80ml,XY,Gel Pump,13.44,80ml-XY-+-Gel Pump
PT 850,PET Bottles,80ml,XY,Lotion Pump Flat,13.44,80ml-XY-+-Lotion Pump Flat
PT 851,PET Bottles,80ml,XY,Mushroom Fliptop Cap,9.52,80ml-XY-+-Mushroom Fliptop Cap
PT 854,PET Bottles,80ml,XY,Pump Spray,12.88,80ml-XY-+-Pump Spray
PT 856,PET Bottles,80ml,XY,Pump Spray Shroud,19.04,80ml-XY-+-Pump Spray Shroud
PT 859,PET Bottles,90ml,Diamond,Aluminum Fake Cap,8.96,90ml-Diamond-+-Aluminum Fake Cap
PT 861,PET Bottles,90ml,Diamond,Aluminum Screw Pump,15.68,90ml-Diamond-+-Aluminum Screw Pump
PT 862,PET Bottles,90ml,Diamond,Ardent Fliptop Cap,9.52,90ml-Diamond-+-Ardent Fliptop Cap
PT 863,PET Bottles,90ml,Diamond,Ball Fliptop Cap,10.64,90ml-Diamond-+-Ball Fliptop Cap
PT 864,PET Bottles,90ml,Diamond,Disc Cap,10.64,90ml-Diamond-+-Disc Cap
PT 865,PET Bottles,90ml,Diamond,Gel Pump,13.44,90ml-Diamond-+-Gel Pump
PT 867,PET Bottles,90ml,Diamond,Lotion Pump Flat,13.44,90ml-Diamond-+-Lotion Pump Flat
PT 868,PET Bottles,90ml,Diamond,Mushroom Fliptop Cap,9.52,90ml-Diamond-+-Mushroom Fliptop Cap
PT 869,PET Bottles,90ml,Diamond,Mushroom Screw Cap,9.52,90ml-Diamond-+-Mushroom Screw Cap
PT 871,PET Bottles,90ml,Diamond,Pump Spray,11.76,90ml-Diamond-+-Pump Spray
PT 872,PET Bottles,90ml,Diamond,Pump Spray Fancy,24.64,90ml-Diamond-+-Pump Spray Fancy
PT 873,PET Bottles,90ml,Diamond,Pump Spray Shroud,19.04,90ml-Diamond-+-Pump Spray Shroud
PT 876,PET Bottles,500ml,Bell,Lotion Pump Flat Turn,20.16,500ml-Bell-+-Lotion Pump Flat Turn
PT 877,PET Bottles,10ml,LS,Pump Spray,12.32,10ml-LS-+-Pump Spray
PT 878,PET Bottles,25ml,Test Tube Colored,Pump Spray,12.32,25ml-Test Tube Colored-+-Pump Spray
PT 879,PET Bottles,500ml,Boston,Lotion Pump Flat Turn,20.16,500ml-Boston-+-Lotion Pump Flat Turn
PT 880,PET Bottles,100ml,Cherry,Pump Spray,11.76,100ml-Cherry-+-Pump Spray
PT 881,PET Bottles,100ml,Cherry,Z Fliptop Cap,10.64,100ml-Cherry-+-Z Fliptop Cap
PT 882,PET Bottles,100ml,Ruby,Pump Spray,11.76,100ml-Ruby-+-Pump Spray
PT 883,PET Bottles,100ml,Izzy Oval,Ardent Fliptop Cap,10.08,100ml-Izzy Oval-+-Ardent Fliptop Cap
PT 884,PET Bottles,50ml,Paris,Z Fliptop Cap,13.44,50ml-Paris-+-Z Fliptop Cap
PT 885,PET Bottles,100ml,Cherry,Lotion Pump Flat,14.56,100ml-Cherry-+-Lotion Pump Flat
PT 886,PET Bottles,50ml,Round Deo,Roll On Cap,16.24,50ml-Round Deo-+-Roll On Cap
PT 887,PET Bottles,500ml,Therma,Mushroom Screw Cap,15.68,500ml-Therma-+-Mushroom Screw Cap
PT 888,PET Bottles,500ml,Therma,Trigger Spray,24.64,500ml-Therma-+-Trigger Spray
PT 889,PET Bottles,500ml,Therma,Lotion Pump Flat Turn,20.16,500ml-Therma-+-Lotion Pump Flat Turn
PT 890,PET Bottles,200ml,Paris,Z Fliptop Cap,11.2,200ml-Paris-+-Z Fliptop Cap
PT 891,PET Bottles,100ml,Paris,Lotion Pump Flat,14.56,100ml-Paris-+-Lotion Pump Flat
PT 892,PET Bottles,50ml,Butterfly,Mushroom Fliptop Cap,7.84,50ml-Butterfly-+-Mushroom Fliptop Cap
PT 893,PET Bottles,50ml,Butterfly,Ardent Fliptop Cap,7.84,50ml-Butterfly-+-Ardent Fliptop Cap
PT 894,PET Bottles,50ml,Butterfly,Pump Spray,10.08,50ml-Butterfly-+-Pump Spray
PT 895,PET Bottles,50ml,Ruby,Pump Spray,10.08,50ml-Ruby-+-Pump Spray
PT 896,PET Bottles,30ml,Paris,Mushroom Fliptop Cap,6.72,30ml-Paris-+-Mushroom Fliptop Cap
PT 897,PET Bottles,10ml,LS,Roll On Cap,8.12,10ml-LS-+-Roll On Cap
PT 898,PET Bottles,100ml,Tubular,Z Fliptop Cap,8.96,100ml-Tubular-+-Z Fliptop Cap
PT 899,PET Bottles,100ml,Aqua,Pump Spray,12.32,100ml-Aqua-+-Pump Spray
PT 900,PET Bottles,50ml,Aqua,Pump Spray,10.08,50ml-Aqua-+-Pump Spray
PT 901,PET Bottles,100ml,Colonia,Pump Spray,11.76,100ml-Colonia-+-Pump Spray
PT 902,PET Bottles,50ml,Colonia,Pump Spray,10.08,50ml-Colonia-+-Pump Spray
PT 903,PET Bottles,50ml,Diamond,Pump Spray,10.08,50ml-Diamond-+-Pump Spray
PT 904,PET Bottles,100ml,Aqua,Z Fliptop Cap,8.96,100ml-Aqua-+-Z Fliptop Cap
PT 905,PET Bottles,100ml,Aqua,Mushroom Fliptop Cap,8.96,100ml-Aqua-+-Mushroom Fliptop Cap
PT 906,PET Bottles,100ml,Aqua,Ardent Fliptop Cap,8.96,100ml-Aqua-+-Ardent Fliptop Cap
PT 907,PET Bottles,50ml,Ruby,Mushroom Fliptop Cap,7.84,50ml-Ruby-+-Mushroom Fliptop Cap
PT 908,PET Bottles,200ml,Boston,Lotion Pump Flat,15.96,200ml-Boston-+-Lotion Pump Flat
PT 909,PET Bottles,200ml,Boston,Pump Spray,13.44,200ml-Boston-+-Pump Spray
PT 910,PET Bottles,100ml,Colonia,Aluminum Fake Cap,7.84,100ml-Colonia-+-Aluminum Fake Cap
PT 911,PET Bottles,50ml,Boston,Disc Cap,8.12,50ml-Boston-+-Disc Cap
PT 912,PET Bottles,10ml,LS,Gel Pump,12.32,10ml-LS-+-Gel Pump
PT 913,PET Bottles,30ml,Oval,Aluminum Fake Cap,6.44,30ml-Oval-+-Aluminum Fake Cap
PT 914,PET Bottles,30ml,Oval,Ardent Fliptop Cap,7,30ml-Oval-+-Ardent Fliptop Cap
PT 915,PET Bottles,30ml,Oval,Ball Screw Cap,6.44,30ml-Oval-+-Ball Screw Cap
PT 916,PET Bottles,30ml,Oval,Gel Pump,11.2,30ml-Oval-+-Gel Pump
PT 918,PET Bottles,30ml,Oval,Mushroom Fliptop Cap,7,30ml-Oval-+-Mushroom Fliptop Cap
PT 920,PET Bottles,30ml,Oval,Pump Spray,10.08,30ml-Oval-+-Pump Spray
PT 921,PET Bottles,50ml,Diamond,Aluminum Fake Cap,7,50ml-Diamond-+-Aluminum Fake Cap
PT 922,PET Bottles,50ml,Diamond,Ardent Fliptop Cap,7.84,50ml-Diamond-+-Ardent Fliptop Cap
PT 923,PET Bottles,50ml,Diamond,Gel Pump,11.2,50ml-Diamond-+-Gel Pump
PT 924,PET Bottles,50ml,Diamond,Mushroom Fliptop Cap,7.84,50ml-Diamond-+-Mushroom Fliptop Cap
PT 925,PET Bottles,50ml,Colonia,Aluminum Fake Cap,7,50ml-Colonia-+-Aluminum Fake Cap
PT 926,PET Bottles,50ml,Colonia,Ardent Fliptop Cap,7.84,50ml-Colonia-+-Ardent Fliptop Cap
PT 927,PET Bottles,50ml,Colonia,Gel Pump,11.2,50ml-Colonia-+-Gel Pump
PT 928,PET Bottles,50ml,Colonia,Mushroom Fliptop Cap,7.84,50ml-Colonia-+-Mushroom Fliptop Cap
PT 929,PET Bottles,50ml,Aqua,Aluminum Fake Cap,7,50ml-Aqua-+-Aluminum Fake Cap
PT 930,PET Bottles,50ml,Aqua,Ardent Fliptop Cap,7.84,50ml-Aqua-+-Ardent Fliptop Cap
PT 931,PET Bottles,50ml,Aqua,Gel Pump,11.2,50ml-Aqua-+-Gel Pump
PT 932,PET Bottles,50ml,Aqua,Mushroom Fliptop Cap,7.84,50ml-Aqua-+-Mushroom Fliptop Cap
PT 933,PET Bottles,100ml,Colonia,Ardent Fliptop Cap,8.4,100ml-Colonia-+-Ardent Fliptop Cap
PT 934,PET Bottles,100ml,Colonia,Gel Pump,12.32,100ml-Colonia-+-Gel Pump
PT 935,PET Bottles,100ml,Colonia,Lotion Pump Flat,12.32,100ml-Colonia-+-Lotion Pump Flat
PT 936,PET Bottles,100ml,Colonia,Mushroom Fliptop Cap,8.4,100ml-Colonia-+-Mushroom Fliptop Cap
PT 937,PET Bottles,100ml,Aqua,Gel Pump,12.32,100ml-Aqua-+-Gel Pump
PT 938,PET Bottles,100ml,Aqua,Lotion Pump Flat,12.32,100ml-Aqua-+-Lotion Pump Flat
PT 939,PET Bottles,30ml,Paris,Ardent Fliptop Cap,6.72,30ml-Paris-+-Ardent Fliptop Cap
PT 940,PET Bottles,30ml,Paris,Pump Spray,9.52,30ml-Paris-+-Pump Spray
PT 941,PET Bottles,30ml,Tubular,Pump Spray,9.52,30ml-Tubular-+-Pump Spray
PT 942,PET Bottles,50ml,Hugo,Lotion Pump Flat,11.2,50ml-Hugo-+-Lotion Pump Flat
PT 943,PET Bottles,100ml,Aqua,Aluminum Screw Pump,15.68,100ml-Aqua-+-Aluminum Screw Pump
PT 944,PET Bottles,100ml,Butterfly,Pump Spray,11.76,100ml-Butterfly-+-Pump Spray
PT 945,PET Bottles,100ml,Butterfly,Mushroom Fliptop Cap,8.96,100ml-Butterfly-+-Mushroom Fliptop Cap
PT 946,PET Bottles,100ml,Butterfly,Ardent Fliptop Cap,8.96,100ml-Butterfly-+-Ardent Fliptop Cap
PT 947,PET Bottles,200ml,Boston,Fireman Spray,15.68,200ml-Boston-+-Fireman Spray
PT 948,PET Bottles,1000ml,Therma,Mushroom Screw Cap,20.16,1000ml-Therma-+-Mushroom Screw Cap
PT 950,PET Bottles,1000ml,Therma,Lotion Pump Flat Turn,26.88,1000ml-Therma-+-Lotion Pump Flat Turn
PT 951,PET Bottles,50ml,Ruby,Ardent Fliptop Cap,7.84,50ml-Ruby-+-Ardent Fliptop Cap
PT 952,PET Bottles,50ml,Boston,Lotion Pump Flat,11.2,50ml-Boston-+-Lotion Pump Flat
PT 953,PET Bottles,100ml,Boston,Z Fliptop Cap,7.84,100ml-Boston-+-Z Fliptop Cap
PT 954,PET Bottles,100ml,Oval,Z Fliptop Cap,7.84,100ml-Oval-+-Z Fliptop Cap
PT 955,PET Bottles,40ml,Test Tube,Pump Spray,11.2,40ml-Test Tube-+-Pump Spray
PT 956,PET Bottles,29ml,Test Tube,Pump Spray,11.2,29ml-Test Tube-+-Pump Spray
PT 957,PET Bottles,100ml,Heart,Pump Spray,11.76,100ml-Heart-+-Pump Spray
PT 960,PET Bottles,500ml,Boston,Trigger Spray,24.64,500ml-Boston-+-Trigger Spray
PT 961,PET Bottles,100ml,Esprit,Ardent Fliptop Cap,8.96,100ml-Esprit-+-Ardent Fliptop Cap
PT 962,PET Bottles,100ml,Esprit,Mushroom Fliptop Cap,8.96,100ml-Esprit-+-Mushroom Fliptop Cap
PT 963,PET Bottles,100ml,Esprit,Gel Pump,13.44,100ml-Esprit-+-Gel Pump
PT 964,PET Bottles,100ml,Esprit,Lotion Pump Flat,13.44,100ml-Esprit-+-Lotion Pump Flat
PT 965,PET Bottles,100ml,Esprit,Z Fliptop Cap,8.96,100ml-Esprit-+-Z Fliptop Cap
PT 971,PET Bottles,50ml,Midget,Ardent Fliptop Cap,7,50ml-Midget-+-Ardent Fliptop Cap
PT 972,PET Bottles,50ml,Midget,Mushroom Fliptop Cap,7,50ml-Midget-+-Mushroom Fliptop Cap
PT 973,PET Bottles,50ml,Midget,Gel Pump,12.32,50ml-Midget-+-Gel Pump
PT 974,PET Bottles,50ml,Midget,Lotion Pump Flat,12.32,50ml-Midget-+-Lotion Pump Flat
PT 975,PET Bottles,50ml,Midget,Pump Spray,10.08,50ml-Midget-+-Pump Spray
PT 976,PET Bottles,50ml,Midget,Z Fliptop Cap,7,50ml-Midget-+-Z Fliptop Cap
PT 977,PET Bottles,100ml,Heart,Ardent Fliptop Cap,8.96,100ml-Heart-+-Ardent Fliptop Cap
PT 978,PET Bottles,100ml,Heart,Mushroom Fliptop Cap,8.96,100ml-Heart-+-Mushroom Fliptop Cap
PT 979,PET Bottles,100ml,Heart,Gel Pump,13.44,100ml-Heart-+-Gel Pump
PT 980,PET Bottles,100ml,Heart,Lotion Pump Flat,13.44,100ml-Heart-+-Lotion Pump Flat
PT 981,PET Bottles,100ml,Heart,Z Fliptop Cap,8.96,100ml-Heart-+-Z Fliptop Cap
PT 982,PET Bottles,400ml,Boston,Mushroom Screw Cap,15.68,400ml-Boston-+-Mushroom Screw Cap
PT 983,PET Bottles,400ml,Boston,Z Fliptop Cap,16.8,400ml-Boston-+-Z Fliptop Cap
PT 984,PET Bottles,400ml,Boston,Lotion Pump Flat Turn,20.16,400ml-Boston-+-Lotion Pump Flat Turn
PT 985,PET Bottles,400ml,Boston,Trigger Spray,24.64,400ml-Boston-+-Trigger Spray
PT 987,PET Bottles,50ml,Volcano,Ardent Fliptop Cap,7.84,50ml-Volcano-+-Ardent Fliptop Cap
PT 989,PET Bottles,30ml,Trapezoid,Ardent Fliptop Cap,5.6,30ml-Trapezoid-+-Ardent Fliptop Cap
PT 992,PET Bottles,500ml,Wine,Trigger Spray,24.64,500ml-Wine-+-Trigger Spray
PT 993,PET Bottles,50ml,Aqua,Pump Spray Fancy,23.52,50ml-Aqua-+-Pump Spray Fancy
PT 994,PET Bottles,200ml,Butterfly,Z Fliptop Cap,11.2,200ml-Butterfly-+-Z Fliptop Cap
PT 995,PET Bottles,200ml,Butterfly,Lotion Pump Flat,16.8,200ml-Butterfly-+-Lotion Pump Flat
PT 996,PET Bottles,100ml,Cherry,Pump Spray Shroud,16.8,100ml-Cherry-+-Pump Spray Shroud
PT 997,PET Bottles,120ml,Tubular,Mushroom Fliptop Cap,8.96,120ml-Tubular-+-Mushroom Fliptop Cap
PT 998,PET Bottles,120ml,Tubular,Gel Pump,13.44,120ml-Tubular-+-Gel Pump
PT 999,PET Bottles,250ml,Colonia,Fireman Spray,16.8,250ml-Colonia-+-Fireman Spray
