Product Code,Category,Size,Bottle,Cap, Price in Php ,FILENAME USED
PT 208,PET Bottles,100ml,Therma,Ardent Fliptop Cap,9.52,100ml-Therma-+-Ardent Fliptop Cap
PT 209,PET Bottles,100ml,Therma,Ball Fliptop Cap,11.2,100ml-Therma-+-Ball Fliptop Cap
PT 210,PET Bottles,100ml,Therma,Disc Cap,11.2,100ml-Therma-+-Disc Cap
PT 211,PET Bottles,100ml,Therma,Gel Pump,14.56,100ml-Therma-+-Gel Pump
PT 213,PET Bottles,100ml,Therma,Lotion Pump Flat,14.56,100ml-Therma-+-Lotion Pump Flat
PT 214,PET Bottles,100ml,Therma,Mushroom Fliptop Cap,10.08,100ml-Therma-+-Mushroom Fliptop Cap
PT 215,PET Bottles,100ml,Therma,Mushroom Screw Cap,10.08,100ml-Therma-+-Mushroom Screw Cap
PT 217,PET Bottles,100ml,Therma,Pump Spray,13.44,100ml-Therma-+-Pump Spray
PT 218,PET Bottles,100ml,Therma,Pump Spray Fancy,25.76,100ml-Therma-+-Pump Spray Fancy
PT 219,PET Bottles,100ml,Therma,Pump Spray Shroud,20.16,100ml-Therma-+-Pump Spray Shroud
PT 222,PET Bottles,100ml,Tubular,Aluminum Fake Cap,8.4,100ml-Tubular-+-Aluminum Fake Cap
PT 224,PET Bottles,100ml,Tubular,Aluminum Screw Pump,15.68,100ml-Tubular-+-Aluminum Screw Pump
PT 225,PET Bottles,100ml,Tubular,Ardent Fliptop Cap,8.96,100ml-Tubular-+-Ardent Fliptop Cap
PT 226,PET Bottles,100ml,Tubular,Ball Fliptop Cap,10.08,100ml-Tubular-+-Ball Fliptop Cap
PT 227,PET Bottles,100ml,Tubular,Disc Cap,10.08,100ml-Tubular-+-Disc Cap
PT 228,PET Bottles,100ml,Tubular,Gel Pump,12.32,100ml-Tubular-+-Gel Pump
PT 230,PET Bottles,100ml,Tubular,Lotion Pump Flat,13.44,100ml-Tubular-+-Lotion Pump Flat
PT 231,PET Bottles,100ml,Tubular,Mushroom Fliptop Cap,7.84,100ml-Tubular-+-Mushroom Fliptop Cap
PT 232,PET Bottles,100ml,Tubular,Mushroom Screw Cap,8.96,100ml-Tubular-+-Mushroom Screw Cap
PT 234,PET Bottles,100ml,Tubular,Pump Spray,10.08,100ml-Tubular-+-Pump Spray
PT 235,PET Bottles,100ml,Tubular,Pump Spray Fancy,24.64,100ml-Tubular-+-Pump Spray Fancy
PT 236,PET Bottles,100ml,Tubular,Pump Spray Shroud,17.92,100ml-Tubular-+-Pump Spray Shroud
